#Wed Oct 26 18:34:52 BST 2016
013;4;22412806,810385240,23194173,119628957,=
0142;1;215772501,=
0145;1;719779028,=
014;5;27711446,519261730,67604433,220026516,26329898,=
0156;1;920209962,=
015;10;416473331,417241180,19648488,420156622,19854984,220148520,23194173,218828806,519011281,620363190,=
016096;1;120480728,=
016358;1;719208451,=
016413;1;719208451,=
0169;1;519541927,=
016;3;520463041,119628957,19602583,=
017;9;519261730,19297380,119514456,88514703,26337960,620099342,19602583,919157111,417535996,=
018;4;19144214,67604433,417420440,27404574,=
0196;1;116127467,=
0198;1;519541927,=
019;5;519555106,417420440,26467834,519825220,417535996,=
01mum;1;419913596,=
020026;1;22440315,=
0207;2;116127467,215772501,=
020;3;520207156,119514456,19602583,=
021097;1;519720797,=
02150;2;116522752,=
0217;1;417420440,=
0219;1;320229679,=
0224;2;920209962,519533757,=
0226;3;19820054,=
023800;1;918260426,=
023;3;918260426,519452183,918622730,=
0240;1;19403950,=
0245;1;116127467,=
0247;1;918568789,=
0248;1;320229679,=
024;5;89493495,419201422,520207156,519228871,19602583,=
0250;1;519822347,=
025325;1;519775712,=
0254;1;920209962,=
025;6;519452183,519628108,220026516,620099342,19602583,519671316,=
02611628;1;519558269,=
0263;1;718942022,=
026;3;19603474,620099342,27203732,=
0279;1;519999130,=
027;2;17401731,917883032,=
028;1;519307172,=
029072;1;519720797,=
0296;1;215772501,=
029;5;620137488,67604433,26337960,19603474,620099342,=
02h;1;520207156,=
0302;1;620498436,=
0303;1;519816916,=
0304;1;20049071,=
030;4;519261730,620099342,19602583,519825220,=
031;5;419943926,22412806,520463041,67604433,718942022,=
0322;1;417420440,=
032;4;220336794,620099342,917883032,620406759,=
0330;1;82544282,=
03320;2;116522752,=
03330;2;116522752,=
033;3;811134655,620099342,=
034;6;19717784,620099342,=
035;5;320142119,19717784,520217236,320067476,19603474,=
0369;1;118665218,=
036;5;320142119,520463041,119514456,26467834,919157111,=
037;2;26434791,116687632,=
038078;1;219687126,=
038;1;417420440,=
0398;1;120480728,=
039;2;19395509,23194173,=
0402;1;517284733,=
04059;1;519362200,=
0409;1;215246584,=
040;2;620099342,20057337,=
0410;1;22264624,=
0416;1;19603474,=
04172;1;519362200,=
041;3;419943926,15957682,67604433,=
042006012008;1;520010496,=
04216;1;420190160,=
0423;1;517284733,=
0425;1;517374659,=
04260;2;116522752,=
042;1;320442322,=
0432;1;517374659,=
043;3;116687632,19717784,620363190,=
044091;1;718700876,=
044;2;219082766,89750007,=
045093;1;718700876,=
045;8;320062919,19213712,519720797,417420440,517056811,320442322,19339148,=
046;4;320142119,22264624,519720797,417420440,=
0471;1;918568789,=
0476;1;517284733,=
047;3;720178126,26467834,21329852,=
048;3;20057337,917883032,27263837,=
0493;1;920209962,=
049;1;519307172,=
050;3;20075281,19820054,417420440,=
0510;1;815291293,=
05110;3;116522752,=
05120;3;116522752,=
0519;1;215246584,=
052;5;419928051,19854984,119514456,519356665,=
053106;1;620074360,=
053;5;67604433,519144731,26329898,519586804,919157111,=
0557;1;620498436,=
055;4;320142119,620137488,219687126,519955842,=
056086;1;219687126,=
056;1;26337960,=
057;1;418090541,=
058;4;520217236,518781351,23194173,215246584,=
059094;1;220336794,=
059;3;320142119,22412806,718942022,=
05h;1;418000306,=
05mg;1;88631208,=
05mm;1;519447367,=
060;4;15540494,19403950,219160843,15222595,=
061207;1;620363190,=
0614;1;219550411,=
061;1;22860030,=
062;3;15540494,418165573,15222595,=
0630003;1;17401731,=
063;2;519035453,19602583,=
0641;1;22264624,=
0647;1;219550411,=
064;1;320142119,=
0652;1;519558269,=
0654;1;920209962,=
065;4;919288728,620377183,119460251,119514456,=
0664;1;19603474,=
066;4;22860030,19395509,418165573,519144731,=
067;1;519144731,=
068;3;418165573,917883032,620363190,=
069;3;19403950,19286827,219687126,=
070;5;22860030,20075281,19403950,718942022,19574567,=
071;3;519035453,219586851,918622730,=
072111;1;620074360,=
0729;1;517374659,=
072;2;23562867,519144731,=
073;5;416473331,119514456,718942022,19602583,620363190,=
074094;1;519639250,=
074134;1;520166163,=
074;5;419943926,519035453,220336794,19602583,19286827,=
075;5;419886753,68843586,420144979,620099342,620074360,=
076;2;20075281,118953538,=
077;1;719208451,=
078;3;15540494,519144731,15222595,=
0798;1;718686862,=
079;2;22412806,519321563,=
080134;1;620074360,=
080;7;419943926,518391475,520217236,67604433,119514456,19749018,219550411,=
08159;1;718666025,=
081;2;88514703,519144731,=
0825;1;219550411,=
082;2;19395509,719208451,=
083;2;519035453,17934994,=
084099;1;519639250,=
084;5;19395509,21647518,119514456,519144731,=
0858;1;215246584,=
085;2;19395509,19602583,=
086;4;620137632,518802197,519144731,23194173,=
0871;1;219550411,=
087;4;417241180,19706206,519639250,320442322,=
088;3;519035453,19395509,620137632,=
089;2;67604433,19602583,=
08yr;1;420371661,=
0900;1;420393161,=
090;1;620074360,=
091132;1;518951003,=
091;1;620137632,=
0930;2;20102672,=
0935;1;219550411,=
0936409948;1;519639250,=
094;1;519639250,=
095;5;20166661,19749018,119180338,519921446,19602583,=
09656;1;519639250,=
0968;1;718686862,=
096;2;119180338,519321563,=
0976;1;919494030,=
097;6;519452183,27205662,519035453,119521708,519921446,19602583,=
0984;1;19729231,=
098;4;416473331,27205662,19706206,220336794,=
099118;1;620498436,=
0991;1;919494030,=
0996;1;19729231,=
09992;1;520000401,=
09995;1;520000401,=
0999;1;918260426,=
099;4;519144731,19655328,19569124,=
10000;1;18657129,=
1000;22;719279359,520463041,19339983,519755440,19655328,917624668,89750007,19569124,116102395,19904637,69728927,88899861,420132880,68475563,=
1000ppm;1;519755440,=
100107;1;519177909,=
100500;1;519662485,=
100600;1;611301194,=
1009;1;620154440,=
100;162;918406589,88019774,720009966,416777938,61465774,918630600,219924753,27203732,19574567,419917065,620224486,810385240,12033698,320050186,68787463,68592437,611301194,919960563,119277111,215246584,118809912,22440315,62031261,26255807,19643160,919653348,517059813,519798733,220148520,88549636,22894873,519755440,620363190,517716867,88899861,918956710,416626867,61565635,519572624,417026994,26467834,519662485,19329623,62010049,320146278,68489312,418004127,416765344,519785604,88736714,620169590,89687003,519848315,417628524,620094844,19655328,23717348,720101241,320118150,918568789,62256160,918830163,89721025,718942022,314646108,918298915,810455274,19717769,23322820,22458353,19923609,68661178,417075569,419329107,218817191,89750007,21787644,719897433,82076752,28023324,918161920,519469901,19602583,68475563,19648488,26097738,67521742,19700710,919711774,417372719,620517935,21647518,519932453,88631208,612544867,89050026,219557362,719567622,520097509,519885588,112403546,719227188,519144731,62449750,320038140,720035096,116022047,22964643,=
100f1;1;19574567,=
100fold;4;520404340,219710201,810716292,519165720,=
100g100f1;7;19574567,=
100g;3;19574567,=
10100fold;1;219022233,=
1010;4;22412806,919211520,23194173,=
101106;1;519618277,=
1012106;1;22841870,=
1012;4;22841870,22412806,517697863,816878079,=
1014day;1;22727094,=
10150;1;519802891,=
1015yearold;1;418669293,=
101;6;918406589,519452183,517374659,418090541,519321563,=
1020;1;719369460,=
1020day;1;89059059,=
1021;1;23740274,=
1022;1;26735146,=
1024;1;919711774,=
10260;1;18657129,=
102;3;219182438,320442322,27263837,=
10300;1;19329623,=
1030;1;919288728,=
1032;1;22894873,=
103;15;116687632,68452627,218850316,817128380,15747224,918630600,219193628,218817191,69500619,920209962,918568789,520217236,520100277,419266184,519825220,=
104165;1;620074360,=
104223;1;620074360,=
104325;1;518951003,=
104;12;23323602,219115036,720009966,218996923,719302340,219160843,219232490,620074360,519479323,320158267,816878079,=
1050microm;1;320159012,=
105389;1;419955259,=
105501;1;718700876,=
1055;1;19605714,=
105;28;611271310,520043997,88549636,719928490,519720797,218850316,611271271,519533757,812406343,320442322,68661178,23717348,19966174,23323602,22850158,918568789,517374659,118953538,12033698,810716292,218996923,519166630,917623470,=
1060;1;22894873,=
1061;1;62953092,=
10645;1;419955259,=
1066;1;62953092,=
1068;1;68661178,=
106;34;918406589,68525521,68361174,611271271,20057337,61417190,61670969,615548965,810716292,67604433,61670970,320361728,720062896,320450882,611271310,519452183,615316366,611301194,22850158,612352905,218996923,19605714,919157111,68342124,68475563,=
106m;3;420045034,119327339,=
107108;1;519113858,=
1071;2;519501421,=
1073;1;24025556,=
107460;1;718674829,=
107;35;616201179,719187609,620522872,61465774,20023126,28391097,519755440,22500029,519671316,720108773,62449750,68661177,519193660,26255807,22412453,22850158,22412806,218996923,23194173,68787463,=
107m;1;119327339,=
107x109;1;119179314,=
108105;1;88549636,=
108170;1;518951003,=
108441;1;17401731,=
1089;2;20184306,22964643,=
108;18;817478619,69311715,520097509,218850316,22500029,917624668,23020336,719332626,22850158,520217236,810716292,218996923,620498436,68932289,610423320,=
108m;1;520097509,=
109107;2;88549636,=
10911097;1;519185508,=
1091;1;519825220,=
1098;2;23700653,19717784,=
1099;1;19161639,=
109;12;918406589,719856712,68959868,22850158,62010049,420371661,22412806,118953538,620079229,420515577,218828806,816878079,=
10d;1;616201179,=
10day;1;89059059,=
10dayold;1;419120141,=
10dimethoxypterocarpan3obetadglucopyranosid;1;918533500,=
10dimethoxypterocarpan3obetadglucosid;2;918196526,919462688,=
10fold;4;612792518,520404340,519113858,519694805,=
10gingerol;3;417176640,=
10item;1;15387206,=
10mg;3;320062936,=
10mm;1;520097509,=
10mmhg;1;88631208,=
10ppm;1;218951774,=
10shogaol;5;417176640,=
10shogaolinduc;1;417176640,=
10year;3;519228871,=
10yearold;1;720022787,=
1100;1;719304528,=
110120;1;27111663,=
1101505;1;519558269,=
110180;1;320442322,=
110260;1;88183045,=
1107;1;19574567,=
110;5;419928051,518951003,419261400,23920247,=
11102;1;119628957,=
1110;1;220336794,=
1111;1;219183134,=
11125;1;719107779,=
1117;1;87843046,=
111;5;27111663,918568789,718789071,719278370,19400117,=
1120;2;420153424,=
112180;1;219687126,=
11225;1;19421988,=
1129;2;220336794,82801013,=
112;4;420157193,517623225,19717784,26337960,=
1130;1;20049071,=
1133;1;22894873,=
1134;1;219497388,=
1136;1;19161639,=
113;5;19717784,118953538,520128809,219550411,620363190,=
113c;2;19403714,=
113cleu;1;20059915,=
113hlinol;1;518070874,=
1142;1;519639250,=
1143;1;620074360,=
114;4;19717784,817128380,16244684,22964643,=
114cpropion;1;19213712,=
1156;1;19297380,=
1157;1;20184306,=
115;4;519900509,68525521,19717784,19603474,=
1160;7;719333200,719897433,719332626,719530912,720009966,=
1165;1;22894873,=
1168;1;320375022,=
116;5;19717784,612352905,719593224,61417190,68475563,=
1170;1;20049071,=
117172;1;520166163,=
117354;1;718700876,=
1174;1;27404574,=
117;9;620385912,620457961,68592437,26097738,23700653,119180338,26337960,519321563,=
118461;1;620129626,=
118551;1;419329107,=
1185;1;119521708,=
1186;1;22894873,=
1187;1;719278370,=
118;10;27111663,919288728,719833748,918657113,718820931,15222595,919224390,719487262,19421988,68787463,=
1197;1;816878079,=
1198;1;19161639,=
119;2;519720797,23194173,=
11a4;1;420351491,=
11alphar9;1;918196526,=
11amino;1;320375022,=
11beta2;1;420041369,=
11betahydroxylas;2;419844121,=
11betahydroxysteroid;1;420393161,=
11cmethionin;1;520108311,=
11g;1;517275274,=
11hydroxylas;1;419931309,=
11kda;1;519767579,=
11sshydroxylas;1;419942208,=
11z;1;518070874,=
1200;1;519926165,=
1203;1;20023126,=
1205;1;420156622,=
